LB Rank;LB Team;Player Name
641;ʕ·ᴥ·　ʔ;sairensu
642;;LokSee
643;;tv/kot4kb4s
644;;Boskey
645;;tv/nevishusny
646;;2Aqun~ GxD
647;Infamous;TakeCareMia-
648;;Christie
649;gotei13;srw
650;;rusky
651;;lure
652;;блатной
653;NIGGER;MegaKrab
654;;interlinked
655;;мяумимяу
656;;dead
657;;neff
658;;Bobkata
659;;RodjER
660;;playboy
661;СФУ;comatose
662;;36 chambers
663;;johnnupro
664;TxJ;♥VoRDJ
665;CG;Nbnp
666;;Raving
667;;霞雲の海
668;;exusiai
669;;[]
670;;starving
671;;᠌ ᠌ ᠌᠌ ᠌ ᠌ ᠌ ᠌
672;;dEca67
673;;Black And Yellow
674;NGU;HyPn0daNc3r
675;;Lucky
676;;Gewinner
677;;nttrl
678;;nT
679;;Vata
680;;.xx
681;;MaSTeR-
682;;GofroCentral
683;;Revenant
684;;Soulnier
685;;pyro
686;;Ty
687;96;bequem
688;;zipzzzap
689;;Richik
690;;Syxar'
691;HAVU;Wazza
692;;NAZGÛL
693;;крипер
694;Never;Nicken
695;11 y;o. emptiness
696;;Lokie
697;;Unica
698;x5;mini
699;;amy
700;;злa всeгдa meньshe
701;Chandog;YiSuS
702;;deihra
703;;Dingo
704;5A;Xcalibur
705;;6red
706;;symetrical
707;;Lumière
708;Tb;Gorgc
709;;supp diff
710;;Faker
711;;rizza
712;;YYYYY
713;;qqxq
714;;SAMETS
715;;p3><ip><3a,,,3
716;;hittayo
717;;xiao8
718;;YorU
719;;Asao
720;RTU;shinimigod
721;;Oliver
722;;stingerdota
723;;BlitZ
724;;tearsanie
725;;passedawayinMay
726;;мне похуй
727;;77
728;;crown
729;;прерывистое дыха
730;;emolvy
731;;Vidjen
732;;tw/dawgdota2
733;;aida
734;;^_^
735;;unera
736;;Z
737;;Gunnar
738;;DEBIL
739;;x'ma
740;;lil me alone
741;;SNVA
742;;repent
743;;Kenshin Himura
744;;jgfdighd
745;;Falcon Blade
746;NAVIj;Gothic-
747;R3;mem8er
748;;yoto
749;;BIG BALLER
750;Suharik;Irefuul
751;;Gardιck 鬼
752;;qute
753;tw;tv/SpeedManq
754;;Apophis
755;;So long
756;;saya
757;;Cheiso
758;;загадочник
759;BIZ;shy
760;;Хлюпик
761;;убейся
762;;spiller
763;;sufferxng
764;Wipers;mankurt
765;;< blank >
766;;Core or idc
767;Eminence;ReM2
768;;September
769;;哈哈哈哈哈哈哈哈哈哈
770;;Sh1do
771;;чёрная орхидея
772;;бодя
773;;supp diff
774;;Смурфик(синий)
775;;
776;;awake
777;Never;nothingness
778;;visi
779;;kaeioet^^
780;;Adlet Meyer
781;;memorybankss
782;;quiscon
783;;TeaGuvnor
784;;Isaiah
785;;не проебываю
786;;Melancholy
787;;Arcmajes
788;;3333
789;;ТУТТУРУ
790;;CEMEN_BAKIN
791;;cisco
792;;////////////////////////////////
793;;Jacob^
794;;:)
795;;execute
796;;NDK
797;;Chuvachkov
798;elegia;forever young-
799;;completely lost
800;;Zakki
801;;DoX
802;;killadem44
803;;Lucifer
804;;Kusakabe
805;;fxckyall
806;;vkusi my ego
807;Psos;Rasmus_=
808;;5up
809;;QoL
810;;krai
811;;404_not found
812;;саша
813;;___TBAPb___
814;;Origin
815;;mxrrxrgrace
816;;losing patience
817;;ALOHADANCE
818;;ahmia
819;;EZN1K
820;;tv/krshima
821;;forever
822;;матрица
823;;24
824;;Чушп@н
825;KR;Ghostik
826;;noname
827;ППД;Даша Васнецова
828;By;FlaSh
829;;Jb
830;;Arkano
831;;.Alik
832;;iAnnihilate
833;;pako
834;;god
835;;Inc
836;FATE;InstantlyTrendy
837;;kappa
838;;juujika
839;;#самосигх
840;;TAQ
841;;ALWAYSWANNAFLY
842;;Never
843;;bigfatbeee
